"phonecode","country_iso","country_name","state_or_province_iso","state_or_province_name"
"620","US","United States","KS","Kansas"
"621","US","United States","TX","Texas"
"623","US","United States","AZ","Arizona"
"626","US","United States","CA","California"
"628","US","United States","CA","California"
"629","US","United States","TN","Tennessee"
"630","US","United States","IL","Illinois"
"631","US","United States","NY","New York"
"636","US","United States","MO","Missouri"
"639","CA","Canada","SK","Saskatchewan"
"640","US","United States","NJ","New Jersey"
"641","US","United States","IA","Iowa"
"646","US","United States","NY","New York"
"647","CA","Canada","ON","Ontario"
"649","TC","Turks and Caicos Islands","",""
"650","US","United States","CA","California"
"651","US","United States","MN","Minnesota"
"656","US","United States","FL","Florida"
"657","US","United States","CA","California"
"659","US","United States","AL","Alabama"
"660","US","United States","MO","Missouri"
"661","US","United States","CA","California"
"662","US","United States","MS","Mississippi"
"664","MS","Montserrat","",""
"667","US","United States","MD","Maryland"
"669","US","United States","CA","California"
"670","US","United States","MP","Northern Mariana Islands"
"671","US","United States","GU","Guam"
"672","CA","Canada","BC","British Columbia"
"678","US","United States","GA","Georgia"
"679","US","United States","MI","Michigan"
"680","US","United States","NY","New York"
"681","US","United States","WV","West Virginia"
"682","US","United States","TX","Texas"
"684","US","United States","AS","American Samoa"
"689","US","United States","FL","Florida"
"701","US","United States","ND","North Dakota"
"702","US","United States","NV","Nevada"
"703","US","United States","VA","Virginia"
"704","US","United States","NC","North Carolina"
"705","CA","Canada","ON","Ontario"
"706","US","United States","GA","Georgia"
"707","US","United States","CA","California"
"708","US","United States","IL","Illinois"
"709","CA","Canada","NL","New Foundland and Labrador"
"712","US","United States","IA","Iowa"
"713","US","United States","TX","Texas"
"714","US","United States","CA","California"
"715","US","United States","WI","Wisconsin"
"716","US","United States","NY","New York"
"717","US","United States","PA","Pennsylvania"
"718","US","United States","NY","New York"
"719","US","United States","CO","Colorado"
"720","US","United States","CO","Colorado"
"724","US","United States","PA","Pennsylvania"
"725","US","United States","NV","Nevada"
"726","US","United States","TX","Texas"
"727","US","United States","FL","Florida"
"729","US","United States","TN","Tennessee"
"731","US","United States","TN","Tennessee"
"732","US","United States","NJ","New Jersey"
"734","US","United States","MI","Michigan"
"737","US","United States","TX","Texas"
"738","US","United States","CA","California"
"740","US","United States","OH","Ohio"
"743","US","United States","NC","North Carolina"
"747","US","United States","CA","California"
"748","US","United States","CO","Colorado"
"754","US","United States","FL","Florida"
"757","US","United States","VA","Virginia"
"758","LC","Saint Lucia","",""
"760","US","United States","CA","California"
"762","US","United States","GA","Georgia"
"763","US","United States","MN","Minnesota"
"765","US","United States","IN","Indiana"
"767","DM","Dominica","",""
"769","US","United States","MS","Mississippi"
"770","US","United States","GA","Georgia"
"772","US","United States","FL","Florida"
"773","US","United States","IL","Illinois"
"774","US","United States","MA","Massachusetts"
"775","US","United States","NV","Nevada"
"778","CA","Canada","BC","British Columbia"
"779","US","United States","IL","Illinois"
"780","CA","Canada","AB","Alberta"
"781","US","United States","MA","Massachusetts"
"782","CA","Canada","PE","Prince Edward Island"
"784","VC","Saint Vincent and the Grenadines","",""
"785","US","United States","KS","Kansas"
"786","US","United States","FL","Florida"
"787","US","United States","PR","Puerto Rico"
"801","US","United States","UT","Utah"
"802","US","United States","VT","Vermont"
"803","US","United States","SC","South Carolina"
"804","US","United States","VA","Virginia"
"805","US","United States","CA","California"
"806","US","United States","TX","Texas"
"807","CA","Canada","ON","Ontario"
"808","US","United States","HI","Hawaii"
"809","DO","Dominican Republic","",""
"810","US","United States","MI","Michigan"
